Site,Protocol Note,Manufacturer,Scanner,N,,,,,,,,,
Andhra Pradesh,None,Siemens,MAGNETOM Skyra,108,,,,,,,,,
Assam,None,Siemens,MAGNETOM Skyra,30,,,,,,,,,
Chennai,"Can't do DWI: B=0 not same resolution as two DTI's, DTI P-A poor quality, no fMRI at this site",Siemens,MAGNETOM Spectra,10,,,,,,,,,
Gujarat,None,Siemens,MAGNETOM Vida,19,,,,,,,,,
Kolkata,None,Siemens,MAGNETOM Skyra,119,,,,,,,,,
Mumbai,None,Siemens,MAGNETOM Skyra,76,,,,,,,,,
Punjab,None,Siemens,MAGNETOM Spectra,51,,,,,,,,,
Rajasthan,No SWI phase at this site,Siemens,MAGNETOM Vida,18,,,,,,,,,
Delhi Haryana,"DWI is split, both 1.56 isotropic",Philips,Achieva dStream,46,,,,,,,,,
NIMHANS,None,Philips,Ingenia CX,138,,,,,,,,,
Uttarakhand,"No DWI, fMRI sequences collected at this site",Philips,Ingenia Elition X,23,,,,,,,,,
,,,,,,,,,,,,,
T1w,,,,,,,,,,,,,
Site,Manufacturer,Sequence,TE (ms),TR (ms),TI (ms),Flip Angle (°),Acceleration,"Dimensions (X, Y, Z)","Voxel Size (X, Y, Z; mm)",Duration,,,
Andhra Pradesh,Siemens,MPRAGE,2.96,2300,900,9," GRAPPA, factor = 2",208 x 240 x 256, 1 x 1 x 1  ,05:23,,,
Assam,Siemens,MPRAGE,2.26,2300,900,9," GRAPPA, factor = 2",208 x 256 x 256, 1 x 1 x 1  ,05:28,,,
Chennai,Siemens,MPRAGE,3.31,2300,900,9," GRAPPA, factor = 2",208 x 240 x 256, 1 x 1 x 1  ,05:28,,,
Gujarat,Siemens,MPRAGE,2.26,2300,900,9," GRAPPA, factor = 2",192 x 240 x 256, 1 x 1 x 1 ,05:10,,,
Kolkata,Siemens,MPRAGE,2.98,2300,900,9," GRAPPA, factor = 2", 208 x 240 x 256, 1 x 1 x 1 ,05:10,,,
Mumbai,Siemens,MPRAGE,2.98,2300,900,9," GRAPPA, factor = 2",208 x 240 x 256, 1 x 1 x 1  ,05:22,,,
Punjab,Siemens,MPRAGE,3.31,2300,900,9," GRAPPA, factor = 2",208 x 240 x 256, 1 x 1 x 1  ,05:34,,,
Rajasthan,Siemens,MPRAGE,2.26,2300,900,9," GRAPPA, factor = 2",192 x 240 x 256, 1 x 1 x 1 ,05:22,,,
Delhi Haryana,Philips,TFE,3.68,8.05,N/A,8," Compressed sensing, factor = 1.41",160 x 240 x 240, 1 x 1 x 1 ,03:57,,,
NIMHANS,Philips,TFE,2.94,6.53,N/A,9," SENSE, factor = 2",208 x 256 x 256, 1 x 1 x 1  ,05:38,,,
Uttarakhand,Philips,TFE,3.58,7.66,N/A,8," SENSE, factor = 2",180 x 320 x 320, 1 x 0.75 x 0.75 ,05:04,,,
,,,,,,,,,,,,,
T2w,,,,,,,,,,,,,
Site,Manufacturer,Sequence,TE (s),TR (s),Flip Angle (°),Echo Train Length,Pixel Bandwidth (Hz),Parallel Reduction Factor,"Image Dimensions (X,Y,Z)","Voxel Size (X,Y,Z; mm)",Duration,,
Andhra Pradesh,Siemens,SE (SPACE),0.564,3.2,120,314,750,2,208 x 240 x 256,1 x 1 x 1,04:52,,
Assam,Siemens,SE (SPACE),0.564,3.2,120,314,751,2,208 x 240 x 256,1 x 0.98 x 0.98,04:42,,
Chennai,Siemens,SE (SPACE),0.562,3.2,120,282,725,2,208 x 240 x 256,1 x 1 x 1,05:06,,
Gujarat,Siemens,SE (SPACE),0.564,3.2,120,314,751,2,208 x 240 x 256,1 x 1 x 1,07:32,,
Kolkata,Siemens,SE (SPACE),0.564,3.2,120,314,751,2,208 x 240 x 256,1 x 1 x 1,05:00,,
Mumbai,Siemens,SE (SPACE),0.564,3.2,120,314,750,2,208 x 480 x 512,1 x 0.5 x 0.5,04:54,,
Punjab,Siemens,SE (SPACE),0.562,3.2,120,282,725,2,208 x 240 x 256,1 x 1 x 1,05:07,,
